firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
IPW EUROPE;1;F21K;Light sources not otherwise provided for;F21S;Non-portable lighting devices or systems thereof;Grenoble;38
IQSM;1;H04W;Wireless communication networks;;;Biot;64
IRCAD;4;A61B;"Diagnosis; surgery; identification";;;Strasbourg;67
IRCAD INSTITUT DE RECHERCHE CONTRE LES CANCERS DE LAPPAREIL DIGESTIF;2;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";;;Strasbourg;67
IRCAMEX;2;H02B;Boards, substations, or switching arrangements for the supply or distribution of electric power;;;Nantes;44
IRD;14;A61K;Preparations for medical, dental, or toilet purposes;;;Marseille;13
IRD IRD;54;A61K;Preparations for medical, dental, or toilet purposes;;;Marseille;13
IRELEC;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Saint Martin d Heres;38
IREPA LASER;5;B23K;"Soldering or unsoldering; welding; cladding or plating by soldering or welding; cutting by applying heat locally, e.g. Flame cutting; working by laser beam";;;Illkirch Graffenstaden;67
IREPA LASER ASSOCIATION DE DROIT LOCAL;1;G02B;Optical elements, systems, or apparatus;;;Illkirch Graffenstaden;67
IRIBARNE FLORENT;1;B43L;"Articles for writing or drawing upon; accessories for writing or drawing";;;Sainte Feyre;23
IRIDER;1;B62J;"Cycle saddles or seats; accessories peculiar to cycles and not otherwise provided for, e.g. Article carriers or cycle protectors";;;Le Mans;72
IRIS INDUSTRIAL REFRACTORY INSULATING SPECIALITIES;1;F27B;"Furnaces, kilns, ovens, or retorts in general; open sintering or like apparatus";F27D;Details or accessories of furnaces, kilns, ovens, or retorts, in so far as they are of kinds occurring in more than one kind of furnace;Valenciennes;59
IRIS INSPECTION MACHINES;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Venissieux;69
